studentID,school,gradelevel,gender,covidpos,householdincome,freelunch,numcomputers,familysize,fathereduc,mothereduc,readingscore,writingscore,mathscore,readingscoreSL,writingscoreSL,mathscoreSL,timeperiod
1,0,6,1,1,59065,0,5,3,1,0,73,69,87,85,83,71,2
1,0,6,1,1,59065,0,5,3,1,0,63,73,57,78,75,58,4
1,0,6,1,1,59065,0,5,3,1,0,80,67,57,88,80,85,1
1,0,6,1,1,59065,0,5,3,1,0,69,56,74,70,48,87,3
1,0,6,1,1,59065,0,5,3,1,0,83,87,65,69,86,66,0
1,0,6,1,1,59065,0,5,3,1,0,62,37,63,82,78,85,5
2,0,6,1,1,107480,1,4,1,1,1,75,91,85,71,59,83,1
2,0,6,1,1,107480,1,4,1,1,1,77,82,59,71,81,56,2
2,0,6,1,1,107480,1,4,1,1,1,63,77,85,54,73,64,4
2,0,6,1,1,107480,1,4,1,1,1,84,60,77,67,55,57,5
2,0,6,1,1,107480,1,4,1,1,1,78,81,59,76,71,63,3
2,0,6,1,1,107480,1,4,1,1,1,89,87,89,87,73,77,0
3,0,6,1,0,79801,1,0,2,1,1,84,85,90,73,78,93,2
3,0,6,1,0,79801,1,0,2,1,1,68,72,56,79,61,58,3
3,0,6,1,0,79801,1,0,2,1,1,58,84,91,100,86,65,1
3,0,6,1,0,79801,1,0,2,1,1,89,68,67,74,74,70,5
3,0,6,1,0,79801,1,0,2,1,1,85,66,66,69,68,49,4
3,0,6,1,0,79801,1,0,2,1,1,72,88,51,83,80,85,0
4,0,6,1,1,125976,1,2,3,1,2,74,93,76,83,78,81,4
4,0,6,1,1,125976,1,2,3,1,2,83,55,89,89,89,83,1
4,0,6,1,1,125976,1,2,3,1,2,59,73,85,75,89,54,5
4,0,6,1,1,125976,1,2,3,1,2,87,92,93,91,88,72,2
4,0,6,1,1,125976,1,2,3,1,2,86,83,59,72,83,56,3
4,0,6,1,1,125976,1,2,3,1,2,88,97,82,86,93,74,0
5,0,6,0,1,110744,1,5,2,0,1,68,72,85,69,77,49,4
5,0,6,0,1,110744,1,5,2,0,1,81,90,83,48,86,84,1
5,0,6,0,1,110744,1,5,2,0,1,78,80,75,56,73,73,3
5,0,6,0,1,110744,1,5,2,0,1,74,76,87,62,66,45,5
5,0,6,0,1,110744,1,5,2,0,1,78,71,93,85,82,88,0
5,0,6,0,1,110744,1,5,2,0,1,82,91,70,86,71,85,2
